Sample_ID,Original_Sentence,Original_Intent,Original_Entities,Augmented_Sentence,Augmented_Intent,Augmented_Entities,Augmentation_Method,Quality_Score_1_5,Naturalness_Score_1_5,Approved_Yes_No
1,"tiếng ti vi to quá, giảm đi",giảm âm lượng của thiết bị,"[{""type"":""device"",""filler"":""ti vi""}]","tiếng ti vi to quá, giảm xuống đi",giảm âm lượng của thiết bị,"[{""type"":""device"",""filler"":""ti vi""}]",synonym_replacement,5,5,yes
2,"tiếng ti vi to quá, giảm đi",giảm âm lượng của thiết bị,"[{""type"":""device"",""filler"":""ti vi""}]","Làm ơn tiếng ti vi to quá, giảm đi  nhé",giảm âm lượng của thiết bị,"[{""type"":""device"",""filler"":""ti vi""}]",politeness_addition,2,2,no
3,giảm cho anh cái radio mau lên,giảm âm lượng của thiết bị,"[{""type"":""device"",""filler"":""radio""}]",hạ cho anh cái radio mau lên,giảm âm lượng của thiết bị,"[{""type"":""device"",""filler"":""radio""}]",synonym_replacement,5,5,yes
4,giảm cho anh cái radio mau lên,giảm âm lượng của thiết bị,"[{""type"":""device"",""filler"":""radio""}]",Xin hãy giảm cho anh cái radio mau lên với,giảm âm lượng của thiết bị,"[{""type"":""device"",""filler"":""radio""}]",politeness_addition,4,3,yes
5,trời nóng quá giảm nhiệt độ của cái máy lạnh xuống nhớ,giảm nhiệt độ của thiết bị,"[{""type"":""device"",""filler"":""máy lạnh""}]",trời nóng quá hạ nhiệt độ của cái máy lạnh xuống nhớ,giảm nhiệt độ của thiết bị,"[{""type"":""device"",""filler"":""máy lạnh""}]",synonym_replacement,5,5,yes
6,trời nóng quá giảm nhiệt độ của cái máy lạnh xuống nhớ,giảm nhiệt độ của thiết bị,"[{""type"":""device"",""filler"":""máy lạnh""}]",Có thể trời nóng quá giảm nhiệt độ của cái máy lạnh xuống nhớ,giảm nhiệt độ của thiết bị,"[{""type"":""device"",""filler"":""máy lạnh""}]",politeness_addition,2,2,no
7,tiếng to quá giảm cho mình cái radio xuống,giảm âm lượng của thiết bị,"[{""type"":""device"",""filler"":""radio""}]",tiếng to quá điều chỉnh xuống cho mình cái radio xuống,giảm âm lượng của thiết bị,"[{""type"":""device"",""filler"":""radio""}]",synonym_replacement,3,2,no
8,tiếng to quá giảm cho mình cái radio xuống,giảm âm lượng của thiết bị,"[{""type"":""device"",""filler"":""radio""}]",tiếng to quá giảm cho mình cái radio xuống đi,giảm âm lượng của thiết bị,"[{""type"":""device"",""filler"":""radio""}]",politeness_addition,4,4,yes
9,em gì ơi tăng giúp anh cái máy nghe nhạc lên với,tăng âm lượng của thiết bị,"[{""type"":""device"",""filler"":""máy nghe nhạc""}]",em gì ơi nâng giúp anh cái máy nghe nhạc lên với,tăng âm lượng của thiết bị,"[{""type"":""device"",""filler"":""máy nghe nhạc""}]",synonym_replacement,4,4,yes
10,em gì ơi tăng giúp anh cái máy nghe nhạc lên với,tăng âm lượng của thiết bị,"[{""type"":""device"",""filler"":""máy nghe nhạc""}]",em gì ơi tăng giúp anh cái máy nghe nhạc lên với được không,tăng âm lượng của thiết bị,"[{""type"":""device"",""filler"":""máy nghe nhạc""}]",politeness_addition,4,3,yes
11,bạn ơi giảm giúp mình bóng sưởi về 76%,giảm nhiệt độ của thiết bị,"[{""type"":""device"",""filler"":""bóng sưởi""},{""type"":""target number"",""filler"":""76%""}]",bạn ơi hạ giúp mình bóng sưởi về 76%,giảm nhiệt độ của thiết bị,"[{""type"":""device"",""filler"":""bóng sưởi""},{""type"":""target number"",""filler"":""76%""}]",synonym_replacement,4,4,yes
12,bạn ơi giảm giúp mình bóng sưởi về 76%,giảm nhiệt độ của thiết bị,"[{""type"":""device"",""filler"":""bóng sưởi""},{""type"":""target number"",""filler"":""76%""}]",Xin hãy bạn ơi giảm giúp mình bóng sưởi về 76%,giảm nhiệt độ của thiết bị,"[{""type"":""device"",""filler"":""bóng sưởi""},{""type"":""target number"",""filler"":""76%""}]",politeness_addition,3,2,no
13,âm lượng to quá hãy giảm cái radio lại đi,giảm âm lượng của thiết bị,"[{""type"":""device"",""filler"":""radio""}]",âm lượng to quá hãy điều chỉnh xuống cái radio lại đi,giảm âm lượng của thiết bị,"[{""type"":""device"",""filler"":""radio""}]",synonym_replacement,3,2,no
14,âm lượng to quá hãy giảm cái radio lại đi,giảm âm lượng của thiết bị,"[{""type"":""device"",""filler"":""radio""}]",Xin hãy âm lượng to quá hãy giảm cái radio lại đi nha,giảm âm lượng của thiết bị,"[{""type"":""device"",""filler"":""radio""}]",politeness_addition,1,1,no
15,tăng giúp mình cái ti vi trong 23 tiếng 56 phút nhá,tăng âm lượng của thiết bị,"[{""type"":""device"",""filler"":""ti vi""},{""type"":""duration"",""filler"":""23 tiếng 56 phút""}]",tăng lên giúp mình cái ti vi trong 23 tiếng 56 phút nhá,tăng âm lượng của thiết bị,"[{""type"":""device"",""filler"":""ti vi""},{""type"":""duration"",""filler"":""23 tiếng 56 phút""}]",synonym_replacement,5,5,yes
16,tăng giúp mình cái ti vi trong 23 tiếng 56 phút nhá,tăng âm lượng của thiết bị,"[{""type"":""device"",""filler"":""ti vi""},{""type"":""duration"",""filler"":""23 tiếng 56 phút""}]",Có thể tăng giúp mình cái ti vi trong 23 tiếng 56 phút nhá,tăng âm lượng của thiết bị,"[{""type"":""device"",""filler"":""ti vi""},{""type"":""duration"",""filler"":""23 tiếng 56 phút""}]",politeness_addition,4,3,yes
17,giảm máy lạnh em ơi,giảm nhiệt độ của thiết bị,"[{""type"":""device"",""filler"":""máy lạnh""}]",hạ máy lạnh em ơi,giảm nhiệt độ của thiết bị,"[{""type"":""device"",""filler"":""máy lạnh""}]",synonym_replacement,5,5,yes
18,giảm máy lạnh em ơi,giảm nhiệt độ của thiết bị,"[{""type"":""device"",""filler"":""máy lạnh""}]",giảm máy lạnh em ơi với,giảm nhiệt độ của thiết bị,"[{""type"":""device"",""filler"":""máy lạnh""}]",politeness_addition,3,2,no
19,ồn quá giảm cho anh cái radio xuống với,giảm âm lượng của thiết bị,"[{""type"":""device"",""filler"":""radio""}]",ồn quá hạ cho anh cái radio xuống với,giảm âm lượng của thiết bị,"[{""type"":""device"",""filler"":""radio""}]",synonym_replacement,4,4,yes
20,"em ơi, giảm cho anh cái máy lạnh với",giảm nhiệt độ của thiết bị,"[{""type"":""device"",""filler"":""máy lạnh""}]","em ơi, hạ cho anh cái máy lạnh với",giảm nhiệt độ của thiết bị,"[{""type"":""device"",""filler"":""máy lạnh""}]",synonym_replacement,4,4,yes
21,"em ơi, giảm cho anh cái máy lạnh với",giảm nhiệt độ của thiết bị,"[{""type"":""device"",""filler"":""máy lạnh""}]","em ơi, giảm cho anh cái máy lạnh với với",giảm nhiệt độ của thiết bị,"[{""type"":""device"",""filler"":""máy lạnh""}]",politeness_addition,3,3,no
22,em ơi tăng radio lên 38% giúp chị,tăng âm lượng của thiết bị,"[{""type"":""device"",""filler"":""radio""},{""type"":""target number"",""filler"":""38%""}]",em ơi điều chỉnh lên radio lên 38% giúp chị,tăng âm lượng của thiết bị,"[{""type"":""device"",""filler"":""radio""},{""type"":""target number"",""filler"":""38%""}]",synonym_replacement,5,5,yes
23,"bạn ơi, hãy giảm radio cho mình radio xuống còn 65% nha",giảm âm lượng của thiết bị,"[{""type"":""device"",""filler"":""radio""},{""type"":""target number"",""filler"":""65%""}]","bạn ơi, hãy điều chỉnh xuống radio cho mình radio xuống còn 65% nha",giảm âm lượng của thiết bị,"[{""type"":""device"",""filler"":""radio""},{""type"":""target number"",""filler"":""65%""}]",synonym_replacement,4,3,yes
24,"bạn ơi, hãy giảm radio cho mình radio xuống còn 65% nha",giảm âm lượng của thiết bị,"[{""type"":""device"",""filler"":""radio""},{""type"":""target number"",""filler"":""65%""}]","bạn ơi, hãy giảm radio cho mình radio xuống còn 65% nha với",giảm âm lượng của thiết bị,"[{""type"":""device"",""filler"":""radio""},{""type"":""target number"",""filler"":""65%""}]",politeness_addition,3,2,no
25,bạn ơi lạnh quá giảm giúp mình máy lạnh xuống nhé,giảm nhiệt độ của thiết bị,"[{""type"":""device"",""filler"":""máy lạnh""}]",bạn ơi lạnh quá điều chỉnh xuống giúp mình máy lạnh xuống nhé,giảm nhiệt độ của thiết bị,"[{""type"":""device"",""filler"":""máy lạnh""}]",synonym_replacement,2,2,no
26,bạn ơi lạnh quá giảm giúp mình máy lạnh xuống nhé,giảm nhiệt độ của thiết bị,"[{""type"":""device"",""filler"":""máy lạnh""}]",Anh/chị ơi bạn ơi lạnh quá giảm giúp mình máy lạnh xuống nhé,giảm nhiệt độ của thiết bị,"[{""type"":""device"",""filler"":""máy lạnh""}]",politeness_addition,1,1,no
27,tăng radio thêm 31% lúc 11 giờ 27 phút cho mình,tăng âm lượng của thiết bị,"[{""type"":""device"",""filler"":""radio""},{""type"":""changing value"",""filler"":""31%""},{""type"":""time at"",""filler"":""11 giờ 27 phút""}]",nâng radio thêm 31% lúc 11 giờ 27 phút cho mình,tăng âm lượng của thiết bị,"[{""type"":""device"",""filler"":""radio""},{""type"":""changing value"",""filler"":""31%""},{""type"":""time at"",""filler"":""11 giờ 27 phút""}]",synonym_replacement,4,4,yes
28,tăng radio thêm 31% lúc 11 giờ 27 phút cho mình,tăng âm lượng của thiết bị,"[{""type"":""device"",""filler"":""radio""},{""type"":""changing value"",""filler"":""31%""},{""type"":""time at"",""filler"":""11 giờ 27 phút""}]",Giúp tôi tăng radio thêm 31% lúc 11 giờ 27 phút cho mình,tăng âm lượng của thiết bị,"[{""type"":""device"",""filler"":""radio""},{""type"":""changing value"",""filler"":""31%""},{""type"":""time at"",""filler"":""11 giờ 27 phút""}]",politeness_addition,3,2,no
29,"ồn quá, bạn giảm cái radio xuống 1 chút giúp mình với",giảm âm lượng của thiết bị,"[{""type"":""device"",""filler"":""radio""}]","ồn quá, bạn điều chỉnh xuống cái radio xuống 1 chút giúp mình với",giảm âm lượng của thiết bị,"[{""type"":""device"",""filler"":""radio""}]",synonym_replacement,3,2,no
30,em yêu ơi giảm giúp anh cái máy lạnh,giảm nhiệt độ của thiết bị,"[{""type"":""device"",""filler"":""máy lạnh""}]",em yêu ơi điều chỉnh xuống giúp anh cái máy lạnh,giảm nhiệt độ của thiết bị,"[{""type"":""device"",""filler"":""máy lạnh""}]",synonym_replacement,4,4,yes
31,em yêu ơi giảm giúp anh cái máy lạnh,giảm nhiệt độ của thiết bị,"[{""type"":""device"",""filler"":""máy lạnh""}]",Làm ơn em yêu ơi giảm giúp anh cái máy lạnh nha,giảm nhiệt độ của thiết bị,"[{""type"":""device"",""filler"":""máy lạnh""}]",politeness_addition,4,3,yes
32,tiếng radio ở phòng thay đồ số 2 bé quá bạn tăng lên cho mình đi,tăng âm lượng của thiết bị,"[{""type"":""device"",""filler"":""radio""},{""type"":""living_space"",""filler"":""phòng thay đồ số 2""}]",tiếng radio ở phòng thay đồ số 2 bé quá bạn tăng lên lên cho mình đi,tăng âm lượng của thiết bị,"[{""type"":""device"",""filler"":""radio""},{""type"":""living_space"",""filler"":""phòng thay đồ số 2""}]",synonym_replacement,3,2,no
33,tiếng radio ở phòng thay đồ số 2 bé quá bạn tăng lên cho mình đi,tăng âm lượng của thiết bị,"[{""type"":""device"",""filler"":""radio""},{""type"":""living_space"",""filler"":""phòng thay đồ số 2""}]",tiếng radio ở phòng thay đồ số 2 bé quá bạn tăng lên cho mình đi đi,tăng âm lượng của thiết bị,"[{""type"":""device"",""filler"":""radio""},{""type"":""living_space"",""filler"":""phòng thay đồ số 2""}]",politeness_addition,2,2,no
34,em ơi giảm giúp anh cái bóng sưởi xuống 76% với,giảm nhiệt độ của thiết bị,"[{""type"":""device"",""filler"":""bóng sưởi""},{""type"":""target number"",""filler"":""76%""}]",em ơi hạ giúp anh cái bóng sưởi xuống 76% với,giảm nhiệt độ của thiết bị,"[{""type"":""device"",""filler"":""bóng sưởi""},{""type"":""target number"",""filler"":""76%""}]",synonym_replacement,4,4,yes
35,em ơi giảm giúp anh cái bóng sưởi xuống 76% với,giảm nhiệt độ của thiết bị,"[{""type"":""device"",""filler"":""bóng sưởi""},{""type"":""target number"",""filler"":""76%""}]",Xin hãy em ơi giảm giúp anh cái bóng sưởi xuống 76% với,giảm nhiệt độ của thiết bị,"[{""type"":""device"",""filler"":""bóng sưởi""},{""type"":""target number"",""filler"":""76%""}]",politeness_addition,2,2,no
36,em ơi giảm cho anh cái máy lạnh nhá,giảm nhiệt độ của thiết bị,"[{""type"":""device"",""filler"":""máy lạnh""}]",em ơi giảm xuống cho anh cái máy lạnh nhá,giảm nhiệt độ của thiết bị,"[{""type"":""device"",""filler"":""máy lạnh""}]",synonym_replacement,4,4,yes
37,em ơi giảm cho anh cái máy lạnh nhá,giảm nhiệt độ của thiết bị,"[{""type"":""device"",""filler"":""máy lạnh""}]",Có thể em ơi giảm cho anh cái máy lạnh nhá nha,giảm nhiệt độ của thiết bị,"[{""type"":""device"",""filler"":""máy lạnh""}]",politeness_addition,3,2,no
38,bạn ơi giảm cho radio xuống mức 65% nhé,giảm âm lượng của thiết bị,"[{""type"":""device"",""filler"":""radio""},{""type"":""target number"",""filler"":""65%""}]",bạn ơi điều chỉnh xuống cho radio xuống mức 65% nhé,giảm âm lượng của thiết bị,"[{""type"":""device"",""filler"":""radio""},{""type"":""target number"",""filler"":""65%""}]",synonym_replacement,4,3,yes
39,bạn ơi giảm cho radio xuống mức 65% nhé,giảm âm lượng của thiết bị,"[{""type"":""device"",""filler"":""radio""},{""type"":""target number"",""filler"":""65%""}]",bạn ơi giảm cho radio xuống mức 65% nhé được chứ,giảm âm lượng của thiết bị,"[{""type"":""device"",""filler"":""radio""},{""type"":""target number"",""filler"":""65%""}]",politeness_addition,3,2,no
40,em ơi lạnh quá giảm giúp anh cái máy lạnh xuống đi,giảm nhiệt độ của thiết bị,"[{""type"":""device"",""filler"":""máy lạnh""}]",em ơi lạnh quá hạ giúp anh cái máy lạnh xuống đi,giảm nhiệt độ của thiết bị,"[{""type"":""device"",""filler"":""máy lạnh""}]",synonym_replacement,4,4,yes
41,em ơi lạnh quá giảm giúp anh cái máy lạnh xuống đi,giảm nhiệt độ của thiết bị,"[{""type"":""device"",""filler"":""máy lạnh""}]",em ơi lạnh quá giảm giúp anh cái máy lạnh xuống đi được không,giảm nhiệt độ của thiết bị,"[{""type"":""device"",""filler"":""máy lạnh""}]",politeness_addition,4,3,yes
42,trợ lý ảo ơi giảm giúp mình cái máy lạnh xuống với,giảm nhiệt độ của thiết bị,"[{""type"":""device"",""filler"":""máy lạnh""}]",trợ lý ảo ơi điều chỉnh xuống giúp mình cái máy lạnh xuống với,giảm nhiệt độ của thiết bị,"[{""type"":""device"",""filler"":""máy lạnh""}]",synonym_replacement,3,2,no
43,trợ lý ảo ơi giảm giúp mình cái máy lạnh xuống với,giảm nhiệt độ của thiết bị,"[{""type"":""device"",""filler"":""máy lạnh""}]",Anh/chị ơi trợ lý ảo ơi giảm giúp mình cái máy lạnh xuống với với,giảm nhiệt độ của thiết bị,"[{""type"":""device"",""filler"":""máy lạnh""}]",politeness_addition,1,1,no
44,lạnh quá em ơi giảm giúp anh cái máy lạnh với,giảm nhiệt độ của thiết bị,"[{""type"":""device"",""filler"":""máy lạnh""}]",lạnh quá em ơi điều chỉnh xuống giúp anh cái máy lạnh với,giảm nhiệt độ của thiết bị,"[{""type"":""device"",""filler"":""máy lạnh""}]",synonym_replacement,4,4,yes
45,lạnh quá em ơi giảm giúp anh cái máy lạnh với,giảm nhiệt độ của thiết bị,"[{""type"":""device"",""filler"":""máy lạnh""}]",lạnh quá em ơi giảm giúp anh cái máy lạnh với với,giảm nhiệt độ của thiết bị,"[{""type"":""device"",""filler"":""máy lạnh""}]",politeness_addition,2,2,no
46,ông cháu ơi tăng radio giúp mình với,tăng âm lượng của thiết bị,"[{""type"":""device"",""filler"":""radio""}]",ông cháu ơi tăng lên radio giúp mình với,tăng âm lượng của thiết bị,"[{""type"":""device"",""filler"":""radio""}]",synonym_replacement,4,3,yes
47,ông cháu ơi tăng radio giúp mình với,tăng âm lượng của thiết bị,"[{""type"":""device"",""filler"":""radio""}]",ông cháu ơi tăng radio giúp mình với được không,tăng âm lượng của thiết bị,"[{""type"":""device"",""filler"":""radio""}]",politeness_addition,3,2,no
48,"bạn ơi, tăng cái ti vi cho mình trong 23 tiếng 56 phút nhá",tăng âm lượng của thiết bị,"[{""type"":""device"",""filler"":""ti vi""},{""type"":""duration"",""filler"":""23 tiếng 56 phút""}]","bạn ơi, tăng lên cái ti vi cho mình trong 23 tiếng 56 phút nhá",tăng âm lượng của thiết bị,"[{""type"":""device"",""filler"":""ti vi""},{""type"":""duration"",""filler"":""23 tiếng 56 phút""}]",synonym_replacement,4,4,yes
49,"bạn ơi, tăng cái ti vi cho mình trong 23 tiếng 56 phút nhá",tăng âm lượng của thiết bị,"[{""type"":""device"",""filler"":""ti vi""},{""type"":""duration"",""filler"":""23 tiếng 56 phút""}]","trong 23, bạn ơi, tăng cái ti vi cho mình",tăng âm lượng của thiết bị,"[{""type"":""device"",""filler"":""ti vi""},{""type"":""duration"",""filler"":""23 tiếng 56 phút""}]",sentence_restructuring,2,2,no
50,tăng radio phòng thay đồ số 2 lên 38% đi,tăng âm lượng của thiết bị,"[{""type"":""device"",""filler"":""radio""},{""type"":""living_space"",""filler"":""phòng thay đồ số 2""},{""type"":""target number"",""filler"":""38%""}]",tăng lên radio phòng thay đồ số 2 lên 38% đi,tăng âm lượng của thiết bị,"[{""type"":""device"",""filler"":""radio""},{""type"":""living_space"",""filler"":""phòng thay đồ số 2""},{""type"":""target number"",""filler"":""38%""}]",synonym_replacement,3,2,no
