Sample_ID,Original_Sentence,Original_Intent,Original_Entities,Augmented_Sentence,Augmented_Intent,Augmented_Entities,Augmentation_Method,Quality_Score_1_5,Naturalness_Score_1_5,Approved_Yes_No
51,em ơi tăng cho anh cái radio ở phòng thay đồ số 2 lên 38% vào lúc 4 tiếng 44 phút nhá,tăng âm lượng của thiết bị,"[{""type"":""device"",""filler"":""radio""},{""type"":""living_space"",""filler"":""phòng thay đồ số 2""},{""type"":""target number"",""filler"":""38%""},{""type"":""duration"",""filler"":""4 tiếng 44 phút""}]","vào lúc, em ơi tăng cho anh cái radio ở phòng thay đồ số 2 lên 38%",tăng âm lượng của thiết bị,"[{""type"":""device"",""filler"":""radio""},{""type"":""living_space"",""filler"":""phòng thay đồ số 2""},{""type"":""target number"",""filler"":""38%""},{""type"":""duration"",""filler"":""4 tiếng 44 phút""}]",sentence_restructuring,1,1,no
52,"giảm máy lạnh cho anh đi em ơi, anh nổi hết cả da gà rồi",giảm nhiệt độ của thiết bị,"[{""type"":""device"",""filler"":""máy lạnh""}]","giảm xuống máy lạnh cho anh đi em ơi, anh nổi hết cả da gà rồi",giảm nhiệt độ của thiết bị,"[{""type"":""device"",""filler"":""máy lạnh""}]",synonym_replacement,4,4,yes
53,"giảm máy lạnh cho anh đi em ơi, anh nổi hết cả da gà rồi",giảm nhiệt độ của thiết bị,"[{""type"":""device"",""filler"":""máy lạnh""}]","Xin hãy giảm máy lạnh cho anh đi em ơi, anh nổi hết cả da gà rồi nha",giảm nhiệt độ của thiết bị,"[{""type"":""device"",""filler"":""máy lạnh""}]",politeness_addition,4,4,yes
54,"em ơi, giảm cho anh cái ti vi với",giảm âm lượng của thiết bị,"[{""type"":""device"",""filler"":""ti vi""}]","em ơi, giảm xuống cho anh cái ti vi với",giảm âm lượng của thiết bị,"[{""type"":""device"",""filler"":""ti vi""}]",synonym_replacement,4,4,yes
55,"em ơi, giảm cho anh cái ti vi với",giảm âm lượng của thiết bị,"[{""type"":""device"",""filler"":""ti vi""}]","Giúp tôi em ơi, giảm cho anh cái ti vi với",giảm âm lượng của thiết bị,"[{""type"":""device"",""filler"":""ti vi""}]",politeness_addition,4,3,yes
56,"em ơi, giảm cho anh cái máy lạnh được không",giảm nhiệt độ của thiết bị,"[{""type"":""device"",""filler"":""máy lạnh""}]","em ơi, hạ cho anh cái máy lạnh được không",giảm nhiệt độ của thiết bị,"[{""type"":""device"",""filler"":""máy lạnh""}]",synonym_replacement,4,4,yes
57,"em ơi, giảm cho anh cái máy lạnh được không",giảm nhiệt độ của thiết bị,"[{""type"":""device"",""filler"":""máy lạnh""}]","Anh/chị ơi em ơi, giảm cho anh cái máy lạnh được không",giảm nhiệt độ của thiết bị,"[{""type"":""device"",""filler"":""máy lạnh""}]",politeness_addition,1,1,no
58,em ơi giảm ti vi xuống giúp chị với tiếng nó bị to quá,giảm âm lượng của thiết bị,"[{""type"":""device"",""filler"":""ti vi""}]",em ơi điều chỉnh xuống ti vi xuống giúp chị với tiếng nó bị to quá,giảm âm lượng của thiết bị,"[{""type"":""device"",""filler"":""ti vi""}]",synonym_replacement,3,2,no
59,tới giờ rồi giảm âm lượng ti vi xuống một chút nhé,giảm âm lượng của thiết bị,"[{""type"":""device"",""filler"":""ti vi""}]",tới giờ rồi hạ âm lượng ti vi xuống một chút nhé,giảm âm lượng của thiết bị,"[{""type"":""device"",""filler"":""ti vi""}]",synonym_replacement,4,4,yes
60,bạn ơi giảm giúp mình cái máy lạnh với lạnh quá,giảm nhiệt độ của thiết bị,"[{""type"":""device"",""filler"":""máy lạnh""}]",bạn ơi điều chỉnh xuống giúp mình cái máy lạnh với lạnh quá,giảm nhiệt độ của thiết bị,"[{""type"":""device"",""filler"":""máy lạnh""}]",synonym_replacement,4,4,yes
61,bạn ơi giảm giúp mình cái máy lạnh với lạnh quá,giảm nhiệt độ của thiết bị,"[{""type"":""device"",""filler"":""máy lạnh""}]",bạn ơi giảm giúp mình cái máy lạnh với lạnh quá nhé,giảm nhiệt độ của thiết bị,"[{""type"":""device"",""filler"":""máy lạnh""}]",politeness_addition,3,3,no
62,đến 11 giờ 27 phút thì tăng cho mình cái radio lên nhớ,tăng âm lượng của thiết bị,"[{""type"":""time at"",""filler"":""11 giờ 27 phút""},{""type"":""device"",""filler"":""radio""}]",đến 11 giờ 27 phút thì nâng cho mình cái radio lên nhớ,tăng âm lượng của thiết bị,"[{""type"":""time at"",""filler"":""11 giờ 27 phút""},{""type"":""device"",""filler"":""radio""}]",synonym_replacement,4,4,yes
63,đến 11 giờ 27 phút thì tăng cho mình cái radio lên nhớ,tăng âm lượng của thiết bị,"[{""type"":""time at"",""filler"":""11 giờ 27 phút""},{""type"":""device"",""filler"":""radio""}]",đến 11 giờ 27 phút thì tăng cho mình cái radio lên nhớ với,tăng âm lượng của thiết bị,"[{""type"":""time at"",""filler"":""11 giờ 27 phút""},{""type"":""device"",""filler"":""radio""}]",politeness_addition,3,3,no
64,"giảm cho mình cái radio xuống còn 65% với, to quá",giảm âm lượng của thiết bị,"[{""type"":""device"",""filler"":""radio""},{""type"":""target number"",""filler"":""65%""}]","điều chỉnh xuống cho mình cái radio xuống còn 65% với, to quá",giảm âm lượng của thiết bị,"[{""type"":""device"",""filler"":""radio""},{""type"":""target number"",""filler"":""65%""}]",synonym_replacement,4,3,yes
65,"giảm cho mình cái radio xuống còn 65% với, to quá",giảm âm lượng của thiết bị,"[{""type"":""device"",""filler"":""radio""},{""type"":""target number"",""filler"":""65%""}]","giảm cho mình cái radio xuống còn 65% với, to quá đi",giảm âm lượng của thiết bị,"[{""type"":""device"",""filler"":""radio""},{""type"":""target number"",""filler"":""65%""}]",politeness_addition,5,5,yes
66,em ơi giảm cho anh cái ti vi với,giảm âm lượng của thiết bị,"[{""type"":""device"",""filler"":""ti vi""}]",em ơi điều chỉnh xuống cho anh cái ti vi với,giảm âm lượng của thiết bị,"[{""type"":""device"",""filler"":""ti vi""}]",synonym_replacement,4,4,yes
67,tiếng bé quá bạn hỗ trợ tăng cho mình cái radio với,tăng âm lượng của thiết bị,"[{""type"":""device"",""filler"":""radio""}]",tiếng bé quá bạn hỗ trợ nâng cho mình cái radio với,tăng âm lượng của thiết bị,"[{""type"":""device"",""filler"":""radio""}]",synonym_replacement,4,4,yes
68,tiếng bé quá bạn hỗ trợ tăng cho mình cái radio với,tăng âm lượng của thiết bị,"[{""type"":""device"",""filler"":""radio""}]",tiếng bé quá bạn hỗ trợ tăng cho mình cái radio với giúp tôi,tăng âm lượng của thiết bị,"[{""type"":""device"",""filler"":""radio""}]",politeness_addition,3,3,no
69,lạnh quá bạn giảm cho mình cái máy lạnh,giảm nhiệt độ của thiết bị,"[{""type"":""device"",""filler"":""máy lạnh""}]",lạnh quá bạn điều chỉnh xuống cho mình cái máy lạnh,giảm nhiệt độ của thiết bị,"[{""type"":""device"",""filler"":""máy lạnh""}]",synonym_replacement,4,4,yes
70,lạnh quá bạn giảm cho mình cái máy lạnh,giảm nhiệt độ của thiết bị,"[{""type"":""device"",""filler"":""máy lạnh""}]",lạnh quá bạn giảm cho mình cái máy lạnh đi,giảm nhiệt độ của thiết bị,"[{""type"":""device"",""filler"":""máy lạnh""}]",politeness_addition,4,4,yes
71,"bật to quá, giảm cho mình cái radio xuống 65% nhé",giảm âm lượng của thiết bị,"[{""type"":""device"",""filler"":""radio""},{""type"":""target number"",""filler"":""65%""}]","bắt đầu to quá, giảm cho mình cái radio xuống 65% nhé",giảm âm lượng của thiết bị,"[{""type"":""device"",""filler"":""radio""},{""type"":""target number"",""filler"":""65%""}]",synonym_replacement,3,2,no
72,"bật to quá, giảm cho mình cái radio xuống 65% nhé",giảm âm lượng của thiết bị,"[{""type"":""device"",""filler"":""radio""},{""type"":""target number"",""filler"":""65%""}]","Xin hãy bật to quá, giảm cho mình cái radio xuống 65% nhé",giảm âm lượng của thiết bị,"[{""type"":""device"",""filler"":""radio""},{""type"":""target number"",""filler"":""65%""}]",politeness_addition,2,2,no
73,"lúc 17 giờ 9 phút trời sẽ mát hơn, bạn giảm giúp mình cái máy lạnh lúc đó nhớ",giảm nhiệt độ của thiết bị,"[{""type"":""time at"",""filler"":""17 giờ 9 phút""},{""type"":""device"",""filler"":""máy lạnh""}]","lúc 17 giờ 9 phút trời sẽ mát hơn, bạn hạ giúp mình cái máy lạnh lúc đó nhớ",giảm nhiệt độ của thiết bị,"[{""type"":""time at"",""filler"":""17 giờ 9 phút""},{""type"":""device"",""filler"":""máy lạnh""}]",synonym_replacement,4,4,yes
74,tăng âm lượng radio ở trong phòng thay đồ số 2 nhé,tăng âm lượng của thiết bị,"[{""type"":""device"",""filler"":""radio""},{""type"":""living_space"",""filler"":""phòng thay đồ số 2""}]",nâng âm lượng radio ở trong phòng thay đồ số 2 nhé,tăng âm lượng của thiết bị,"[{""type"":""device"",""filler"":""radio""},{""type"":""living_space"",""filler"":""phòng thay đồ số 2""}]",synonym_replacement,4,4,yes
75,tăng âm lượng radio ở trong phòng thay đồ số 2 nhé,tăng âm lượng của thiết bị,"[{""type"":""device"",""filler"":""radio""},{""type"":""living_space"",""filler"":""phòng thay đồ số 2""}]",tăng âm lượng radio ở trong phòng thay đồ số 2 nhé được không,tăng âm lượng của thiết bị,"[{""type"":""device"",""filler"":""radio""},{""type"":""living_space"",""filler"":""phòng thay đồ số 2""}]",politeness_addition,3,3,no
76,nhạc to quá em giảm cho anh cái radio xuống 65% nhé,giảm âm lượng của thiết bị,"[{""type"":""device"",""filler"":""radio""},{""type"":""target number"",""filler"":""65%""}]",nhạc to quá em giảm xuống cho anh cái radio xuống 65% nhé,giảm âm lượng của thiết bị,"[{""type"":""device"",""filler"":""radio""},{""type"":""target number"",""filler"":""65%""}]",synonym_replacement,4,3,yes
77,nhạc to quá em giảm cho anh cái radio xuống 65% nhé,giảm âm lượng của thiết bị,"[{""type"":""device"",""filler"":""radio""},{""type"":""target number"",""filler"":""65%""}]",nhạc to quá em giảm cho anh cái radio xuống 65% nhé nha,giảm âm lượng của thiết bị,"[{""type"":""device"",""filler"":""radio""},{""type"":""target number"",""filler"":""65%""}]",politeness_addition,3,3,no
78,bạn ơi tăng giúp tôi cái radio thêm 31% nhé,tăng âm lượng của thiết bị,"[{""type"":""device"",""filler"":""radio""},{""type"":""changing value"",""filler"":""31%""}]",bạn ơi điều chỉnh lên giúp tôi cái radio thêm 31% nhé,tăng âm lượng của thiết bị,"[{""type"":""device"",""filler"":""radio""},{""type"":""changing value"",""filler"":""31%""}]",synonym_replacement,4,4,yes
79,bạn ơi tăng giúp tôi cái radio thêm 31% nhé,tăng âm lượng của thiết bị,"[{""type"":""device"",""filler"":""radio""},{""type"":""changing value"",""filler"":""31%""}]",Anh/chị ơi bạn ơi tăng giúp tôi cái radio thêm 31% nhé được chứ,tăng âm lượng của thiết bị,"[{""type"":""device"",""filler"":""radio""},{""type"":""changing value"",""filler"":""31%""}]",politeness_addition,1,1,no
80,em ơi tăng giúp chị cái radio đến 31% đi,tăng âm lượng của thiết bị,"[{""type"":""device"",""filler"":""radio""},{""type"":""changing value"",""filler"":""31%""}]",em ơi nâng giúp chị cái radio đến 31% đi,tăng âm lượng của thiết bị,"[{""type"":""device"",""filler"":""radio""},{""type"":""changing value"",""filler"":""31%""}]",synonym_replacement,4,4,yes
81,em ơi tăng giúp chị cái radio đến 31% đi,tăng âm lượng của thiết bị,"[{""type"":""device"",""filler"":""radio""},{""type"":""changing value"",""filler"":""31%""}]",Xin hãy em ơi tăng giúp chị cái radio đến 31% đi được không,tăng âm lượng của thiết bị,"[{""type"":""device"",""filler"":""radio""},{""type"":""changing value"",""filler"":""31%""}]",politeness_addition,2,2,no
82,"tiếng radio hơi to, em giảm giúp anh xuống 65% với",giảm âm lượng của thiết bị,"[{""type"":""device"",""filler"":""radio""},{""type"":""target number"",""filler"":""65%""}]","tiếng radio hơi to, em điều chỉnh xuống giúp anh xuống 65% với",giảm âm lượng của thiết bị,"[{""type"":""device"",""filler"":""radio""},{""type"":""target number"",""filler"":""65%""}]",synonym_replacement,4,3,yes
83,"tiếng radio hơi to, em giảm giúp anh xuống 65% với",giảm âm lượng của thiết bị,"[{""type"":""device"",""filler"":""radio""},{""type"":""target number"",""filler"":""65%""}]","Giúp tôi tiếng radio hơi to, em giảm giúp anh xuống 65% với giúp tôi",giảm âm lượng của thiết bị,"[{""type"":""device"",""filler"":""radio""},{""type"":""target number"",""filler"":""65%""}]",politeness_addition,3,3,no
84,"cái âm lượng của radio to quá, hãy giảm cho tôi xuống 65% nhá",giảm âm lượng của thiết bị,"[{""type"":""device"",""filler"":""radio""},{""type"":""target number"",""filler"":""65%""}]","cái âm lượng của radio to quá, hãy hạ cho tôi xuống 65% nhá",giảm âm lượng của thiết bị,"[{""type"":""device"",""filler"":""radio""},{""type"":""target number"",""filler"":""65%""}]",synonym_replacement,5,5,yes
85,"cái âm lượng của radio to quá, hãy giảm cho tôi xuống 65% nhá",giảm âm lượng của thiết bị,"[{""type"":""device"",""filler"":""radio""},{""type"":""target number"",""filler"":""65%""}]","cái âm lượng của radio to quá, hãy giảm cho tôi xuống 65% nhá giúp tôi",giảm âm lượng của thiết bị,"[{""type"":""device"",""filler"":""radio""},{""type"":""target number"",""filler"":""65%""}]",politeness_addition,3,3,no
86,em ơi radio hơi to em giảm giúp anh với,giảm âm lượng của thiết bị,"[{""type"":""device"",""filler"":""radio""}]",em ơi radio hơi to em giảm xuống giúp anh với,giảm âm lượng của thiết bị,"[{""type"":""device"",""filler"":""radio""}]",synonym_replacement,5,5,yes
87,em ơi radio hơi to em giảm giúp anh với,giảm âm lượng của thiết bị,"[{""type"":""device"",""filler"":""radio""}]",Xin hãy em ơi radio hơi to em giảm giúp anh với,giảm âm lượng của thiết bị,"[{""type"":""device"",""filler"":""radio""}]",politeness_addition,2,2,no
88,tăng cho chị cái radio trong phòng thay đồ số 2 lên khoảng 38%,tăng âm lượng của thiết bị,"[{""type"":""device"",""filler"":""radio""},{""type"":""living_space"",""filler"":""phòng thay đồ số 2""},{""type"":""target number"",""filler"":""38%""}]",tăng lên cho chị cái radio trong phòng thay đồ số 2 lên khoảng 38%,tăng âm lượng của thiết bị,"[{""type"":""device"",""filler"":""radio""},{""type"":""living_space"",""filler"":""phòng thay đồ số 2""},{""type"":""target number"",""filler"":""38%""}]",synonym_replacement,5,4,yes
89,tăng cho chị cái radio trong phòng thay đồ số 2 lên khoảng 38%,tăng âm lượng của thiết bị,"[{""type"":""device"",""filler"":""radio""},{""type"":""living_space"",""filler"":""phòng thay đồ số 2""},{""type"":""target number"",""filler"":""38%""}]",tăng cho chị cái radio trong phòng thay đồ số 2 lên khoảng 38% đi,tăng âm lượng của thiết bị,"[{""type"":""device"",""filler"":""radio""},{""type"":""living_space"",""filler"":""phòng thay đồ số 2""},{""type"":""target number"",""filler"":""38%""}]",politeness_addition,5,4,yes
90,"trời cũng đỡ lạnh rùi em ơi, giảm hộ anh cái bóng sưởi xuống 76% nhá",giảm nhiệt độ của thiết bị,"[{""type"":""device"",""filler"":""bóng sưởi""},{""type"":""target number"",""filler"":""76%""}]","trời cũng đỡ lạnh rùi em ơi, điều chỉnh xuống hộ anh cái bóng sưởi xuống 76% nhá",giảm nhiệt độ của thiết bị,"[{""type"":""device"",""filler"":""bóng sưởi""},{""type"":""target number"",""filler"":""76%""}]",synonym_replacement,4,3,yes
91,"trời cũng đỡ lạnh rùi em ơi, giảm hộ anh cái bóng sưởi xuống 76% nhá",giảm nhiệt độ của thiết bị,"[{""type"":""device"",""filler"":""bóng sưởi""},{""type"":""target number"",""filler"":""76%""}]","Giúp tôi trời cũng đỡ lạnh rùi em ơi, giảm hộ anh cái bóng sưởi xuống 76% nhá giúp tôi",giảm nhiệt độ của thiết bị,"[{""type"":""device"",""filler"":""bóng sưởi""},{""type"":""target number"",""filler"":""76%""}]",politeness_addition,2,2,no
92,tăng cho mình cái radio ở phòng thay đồ số 2 với,tăng âm lượng của thiết bị,"[{""type"":""device"",""filler"":""radio""},{""type"":""living_space"",""filler"":""phòng thay đồ số 2""}]",điều chỉnh lên cho mình cái radio ở phòng thay đồ số 2 với,tăng âm lượng của thiết bị,"[{""type"":""device"",""filler"":""radio""},{""type"":""living_space"",""filler"":""phòng thay đồ số 2""}]",synonym_replacement,4,4,yes
93,em giảm cho chị cái máy lạnh xuống đi không dùng nữa đâu,giảm nhiệt độ của thiết bị,"[{""type"":""device"",""filler"":""máy lạnh""}]",em giảm xuống cho chị cái máy lạnh xuống đi không dùng nữa đâu,giảm nhiệt độ của thiết bị,"[{""type"":""device"",""filler"":""máy lạnh""}]",synonym_replacement,3,3,no
94,em giảm cho chị cái máy lạnh xuống đi không dùng nữa đâu,giảm nhiệt độ của thiết bị,"[{""type"":""device"",""filler"":""máy lạnh""}]",em giảm cho chị cái máy lạnh xuống đi không dùng nữa đâu với,giảm nhiệt độ của thiết bị,"[{""type"":""device"",""filler"":""máy lạnh""}]",politeness_addition,3,2,no
95,bạn tăng cho tớ cái radio lên với,tăng âm lượng của thiết bị,"[{""type"":""device"",""filler"":""radio""}]",bạn tăng lên cho tớ cái radio lên với,tăng âm lượng của thiết bị,"[{""type"":""device"",""filler"":""radio""}]",synonym_replacement,4,4,yes
96,bạn tăng cho tớ cái radio lên với,tăng âm lượng của thiết bị,"[{""type"":""device"",""filler"":""radio""}]",bạn tăng cho tớ cái radio lên với nhé,tăng âm lượng của thiết bị,"[{""type"":""device"",""filler"":""radio""}]",politeness_addition,4,4,yes
97,"lạnh quá, em giảm cho anh cái máy lạnh với",giảm nhiệt độ của thiết bị,"[{""type"":""device"",""filler"":""máy lạnh""}]","lạnh quá, em giảm xuống cho anh cái máy lạnh với",giảm nhiệt độ của thiết bị,"[{""type"":""device"",""filler"":""máy lạnh""}]",synonym_replacement,4,4,yes
98,"lạnh quá, em giảm cho anh cái máy lạnh với",giảm nhiệt độ của thiết bị,"[{""type"":""device"",""filler"":""máy lạnh""}]","Giúp tôi lạnh quá, em giảm cho anh cái máy lạnh với đi",giảm nhiệt độ của thiết bị,"[{""type"":""device"",""filler"":""máy lạnh""}]",politeness_addition,2,2,no
99,em ơi giảm cho anh cái máy lạnh với,giảm nhiệt độ của thiết bị,"[{""type"":""device"",""filler"":""máy lạnh""}]",em ơi giảm xuống cho anh cái máy lạnh với,giảm nhiệt độ của thiết bị,"[{""type"":""device"",""filler"":""máy lạnh""}]",synonym_replacement,5,5,yes
100,em ơi giảm cho anh cái máy lạnh với,giảm nhiệt độ của thiết bị,"[{""type"":""device"",""filler"":""máy lạnh""}]",em ơi giảm cho anh cái máy lạnh với với,giảm nhiệt độ của thiết bị,"[{""type"":""device"",""filler"":""máy lạnh""}]",politeness_addition,3,2,no